MeterId,Fac Id,Desc,Date,VolYdy,Casing,Tubing,Static
49037074E,BARCAD_1496_16V,Barricade 1496-S26-16V All-BLM,12/13/2020,214.9225,,,206.9415701
49037074E,BARCAD_1496_16V,Barricade 1496-S26-16V All-BLM,12/12/2020,215.5172,,,207.8501307
49037074E,BARCAD_1496_16V,Barricade 1496-S26-16V All-BLM,12/11/2020,212.6453,,,209.1170104
49037074E,BARCAD_1496_16V,Barricade 1496-S26-16V All-BLM,12/10/2020,213.6291,,,213.4972286
49037074E,BARCAD_1496_16V,Barricade 1496-S26-16V All-BLM,12/9/2020,215.5482,,,208.1040128
49037074E,BARCAD_1496_16V,Barricade 1496-S26-16V All-BLM,12/8/2020,215.3185,,,211.4942081
49037074E,BARCAD_1496_16V,Barricade 1496-S26-16V All-BLM,12/7/2020,216.3361,,,207.1683326
49037074E,BARCAD_1496_16V,Barricade 1496-S26-16V All-BLM,12/6/2020,217.8849,,,209.0532726
49037074E,BARCAD_1496_16V,Barricade 1496-S26-16V All-BLM,12/5/2020,218.4057,,,206.5035051
49037074E,BARCAD_1496_16V,Barricade 1496-S26-16V All-BLM,12/4/2020,218.5732,,,207.9104302
49037074E,BARCAD_1496_16V,Barricade 1496-S26-16V All-BLM,12/3/2020,220.0603,,,208.4400775
49037074E,BARCAD_1496_16V,Barricade 1496-S26-16V All-BLM,12/2/2020,217.0802,,,212.4863745
49037074E,BARCAD_1496_16V,Barricade 1496-S26-16V All-BLM,12/1/2020,216.9081,,,211.9879165
49037103E,BARCAD_1595_11V,Barricade 1595-S31-11V Alloc,12/31/2020,487.7415,,,60.1333252
49037103E,BARCAD_1595_11V,Barricade 1595-S31-11V Alloc,12/30/2020,489.2631,,,61.19079938
49037103E,BARCAD_1595_11V,Barricade 1595-S31-11V Alloc,12/29/2020,478.9918,,,57.49608162
49037103E,BARCAD_1595_11V,Barricade 1595-S31-11V Alloc,12/28/2020,475.048,,,64.17732686
49037103E,BARCAD_1595_11V,Barricade 1595-S31-11V Alloc,12/27/2020,484.9296,,,64.41495153
49037103E,BARCAD_1595_11V,Barricade 1595-S31-11V Alloc,12/26/2020,489.6763,,,61.24344717
49037103E,BARCAD_1595_11V,Barricade 1595-S31-11V Alloc,12/25/2020,486.5969,,,60.37739654
49037103E,BARCAD_1595_11V,Barricade 1595-S31-11V Alloc,12/24/2020,477.74,,,62.23107912
49037103E,BARCAD_1595_11V,Barricade 1595-S31-11V Alloc,12/23/2020,480.7288,,,61.39592753
49037103E,BARCAD_1595_11V,Barricade 1595-S31-11V Alloc,12/22/2020,478.6427,,,59.77485567
49037103E,BARCAD_1595_11V,Barricade 1595-S31-11V Alloc,12/21/2020,477.5152,,,61.54261939
49037103E,BARCAD_1595_11V,Barricade 1595-S31-11V Alloc,12/20/2020,478.4879,,,60.32029095
49037103E,BARCAD_1595_11V,Barricade 1595-S31-11V Alloc,12/19/2020,481.5372,,,59.069505
49037103E,BARCAD_1595_11V,Barricade 1595-S31-11V Alloc,12/18/2020,477.1083,,,62.12033867
49037103E,BARCAD_1595_11V,Barricade 1595-S31-11V Alloc,12/17/2020,479.7548,,,59.13977348
49037103E,BARCAD_1595_11V,Barricade 1595-S31-11V Alloc,12/16/2020,479.479,,,58.98048847
49037103E,BARCAD_1595_11V,Barricade 1595-S31-11V Alloc,12/15/2020,483.1502,,,58.64646257
49037103E,BARCAD_1595_11V,Barricade 1595-S31-11V Alloc,12/14/2020,486.618,,,60.3430685
49037103E,BARCAD_1595_11V,Barricade 1595-S31-11V Alloc,12/13/2020,480.6986,,,61.21910636
49037103E,BARCAD_1595_11V,Barricade 1595-S31-11V Alloc,12/12/2020,480.2381,,,58.66463094
49037103E,BARCAD_1595_11V,Barricade 1595-S31-11V Alloc,12/11/2020,491.1248,,,60.8403039
49037103E,BARCAD_1595_11V,Barricade 1595-S31-11V Alloc,12/10/2020,482.7792,,,61.26221394
49037103E,BARCAD_1595_11V,Barricade 1595-S31-11V Alloc,12/9/2020,488.8646,,,68.46476726
49037103E,BARCAD_1595_11V,Barricade 1595-S31-11V Alloc,12/8/2020,489.5411,,,58.71226019
49037103E,BARCAD_1595_11V,Barricade 1595-S31-11V Alloc,12/7/2020,471.36,,,63.28365409
49037103E,BARCAD_1595_11V,Barricade 1595-S31-11V Alloc,12/6/2020,482.252,,,79.26628167
49037103E,BARCAD_1595_11V,Barricade 1595-S31-11V Alloc,12/5/2020,484.3831,,,62.96446523
49037103E,BARCAD_1595_11V,Barricade 1595-S31-11V Alloc,12/4/2020,488.8203,,,69.79146108
49037103E,BARCAD_1595_11V,Barricade 1595-S31-11V Alloc,12/3/2020,481.269,,,59.27699977
49037103E,BARCAD_1595_11V,Barricade 1595-S31-11V Alloc,12/2/2020,481.8283,,,58.63839933
49037103E,BARCAD_1595_11V,Barricade 1595-S31-11V Alloc,12/1/2020,481.3418,,,62.32450975
49037106E,BARCAD_1595_16V,Barricade 1595-S31-16V Alloc,12/31/2020,1005.954,,,200.3934499
49037106E,BARCAD_1595_16V,Barricade 1595-S31-16V Alloc,12/30/2020,1008.667,,,203.288049
49037106E,BARCAD_1595_16V,Barricade 1595-S31-16V Alloc,12/29/2020,946.2463,,,195.5121556
49037106E,BARCAD_1595_16V,Barricade 1595-S31-16V Alloc,12/28/2020,877.3418,,,229.8155586
49037106E,BARCAD_1595_16V,Barricade 1595-S31-16V Alloc,12/27/2020,959.3931,,,261.3464101
49037106E,BARCAD_1595_16V,Barricade 1595-S31-16V Alloc,12/26/2020,984.8112,,,213.3143795
49037106E,BARCAD_1595_16V,Barricade 1595-S31-16V Alloc,12/25/2020,957.7584,,,198.8771351
49037106E,BARCAD_1595_16V,Barricade 1595-S31-16V Alloc,12/24/2020,981.2997,,,204.0944461
49037106E,BARCAD_1595_16V,Barricade 1595-S31-16V Alloc,12/23/2020,968.1131,,,200.1832876
